"","CellID","CompID","BaseID","Comprevenue_Mean","Comprevenue_SD","Comprevenue_CV","Comprevenue_Max","Comprevenue_Min","CompCropFailureProb","CompMinPropSOSDBase","Baserevenue_Mean","Baserevenue_SD","Baserevenue_CV","Baserevenue_Max","Baserevenue_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaserevenue","MinProp_BaseSOSDComp_Divdbaserevenue","Riskiness_Comp","RiceArea"
"30",30,1,1,111293.503385517,12543.8880062064,0.112709975197337,148507.993245282,90024.7169112367,0,-20874.7365243272,89584.9003787598,15276.3279174775,0.170523468273002,150968.561354136,65551.3386781882,0,-24473.3782367689,21708.6030067576,-2732.4399112711,-0.057813493075665,0,-0.233016238630283,-0.273186420181268,1,1
"31",31,1,1,106132.360522473,10211.9622288841,0.0962191190190455,126657.558049585,86126.2307093045,0,-21273.7191637362,84292.8296251459,14595.1972544581,0.173148740164064,144897.822223448,63774.7576749833,0,-23751.1498432601,21839.5308973271,-4383.23502557404,-0.0769296211450187,0,-0.252378752241933,-0.281769516445024,1,1
"32",32,1,1,104511.303164743,9827.67820148447,0.0940345962961822,126163.153963005,84728.7303034207,0,-21889.3996971378,82131.6080501792,13653.9311619573,0.166244537104585,141411.33305766,62620.8834915653,0,-24562.2844698838,22379.6951145633,-3826.25296047281,-0.0722099408084031,0,-0.266516146667483,-0.299060070209233,1,1
"33",33,1,1,113301.721929446,12318.6033723434,0.108723884885124,148413.131680571,91732.9068573498,0,-20715.2882107601,90283.2660611209,14767.7501330341,0.163571288205685,152849.522307863,68602.8718088,0,-23876.4198233721,23018.4558683247,-2449.14676069075,-0.0548474033205607,0,-0.229447705145448,-0.264461188269462,1,1
"34",34,1,1,121363.674947292,14372.3871313648,0.11842412598009,164663.334807687,97618.1582582408,0,-20246.4422876294,97965.3438631088,15688.3353035367,0.160141685670584,161249.916923503,74533.9803679884,0,-24231.091786677,23398.3310841832,-1315.94817217192,-0.0417175596904948,0,-0.20666943522314,-0.247343507725917,1,1
"35",35,1,1,111891.810233949,14363.664283286,0.128371006360999,150049.803709155,85843.394761519,0,-8099.11664843436,103792.693581517,28008.706673823,0.269852392373125,165596.756179973,68876.9162596404,0,-19878.2460269219,8099.11665243252,-13645.042390537,-0.141481386012126,0,-0.0780316645513538,-0.191518741261974,1,1
"36",36,1,1,94860.4588873964,11596.6747368098,0.122249827513228,129512.344520685,74410.2061188757,0,-7849.91703228344,87010.5418485191,25188.1119188705,0.289483450898648,140862.449952328,57291.9889350368,0,-19275.45060586,7849.91703887731,-13591.4371820607,-0.16723362338542,0,-0.090217999629858,-0.221530060569184,1,1
"37",37,1,1,104926.799465288,12722.1754682241,0.121248103754779,145195.072810237,81288.6355762359,0,-7280.82279300615,97645.9766651326,26325.6213770888,0.2696027248247,150532.688774957,64190.050759829,0,-19103.3105731545,7280.82280015516,-13603.4459088647,-0.148354621069921,0,-0.0745634693990007,-0.19563848123172,1,1
"38",38,1,1,105901.129806213,13092.0268971846,0.123624997402215,146455.231479599,81786.7251344786,0,-7416.96819252551,98484.1616062894,25873.2526233104,0.26271485893076,150597.542492705,64460.3694763546,0,-18304.1576637337,7416.96819992317,-12781.2257261258,-0.139089861528545,0,-0.0753112792103197,-0.185858897158594,1,1
"39",39,1,1,100902.361181591,11757.9938762693,0.116528431431935,139026.268674493,79560.0019310078,0,-6907.20969189206,93995.1514869081,26215.9860405582,0.278907854563218,145684.525927934,60707.400523957,0,-19313.7061509723,6907.20969468277,-14457.9921642889,-0.162379423131284,0,-0.0734847445067857,-0.205475557467051,1,1
"40",40,1,1,104244.768021889,12910.6231339969,0.123849123356349,146355.093059957,82799.5249917206,0,-6749.25275928055,97495.5152601279,26453.3633773524,0.271329027871406,150014.826684171,62993.7482972856,0,-19805.7767023822,6749.25276176084,-13542.7402433555,-0.147479904515057,0,-0.0692262894480107,-0.203145515458207,1,1
"41",41,1,1,110031.075944259,13756.6368817108,0.125025014648405,150290.708593316,86173.9088532408,0,-5558.51391707589,104472.562020492,26847.4596467667,0.256980963494518,157525.897892455,67569.6440420395,0,-18604.2648119388,5558.51392376737,-13090.8227650559,-0.131955948846113,0,-0.0532054906051374,-0.178077999162017,1,1
"42",42,1,1,104709.177738157,12190.8360369443,0.116425668697633,140539.869190576,82960.6227571742,0,-8687.30334000037,96021.8743963934,25093.5137286114,0.261331221519604,149337.114529455,61932.7055573437,0,-21027.9172034574,8687.30334176347,-12902.6776916672,-0.14490555282197,0,-0.0904721283000353,-0.21899090530821,1,1
