"","x","y","variable_z.1","variable_z.2","variable_z.3","variable_z.4","variable_z.5","variable_z.6","variable_z.7","variable_z.8","variable_z.9","variable_z.10","variable_z.11","variable_z.12","variable_z.13","variable_z.14","variable_z.15","variable_z.16","variable_z.17","variable_z.18","variable_z.19","variable_z.20","variable_z.21","variable_z.22","variable_z.23","variable_z.24","variable_z.25","variable_z.26","variable_z.27","variable_z.28","variable_z.29","variable_z.30","variable_z.31","variable_z.32","variable_z.33"
"1853",85.975,25.625,41844.677734375,40338.3203125,37375.2392578125,25413.6791992188,33092.7587890625,29298.5205078125,36721.8798828125,33806.9189453125,33502.3583984375,37841.7602539062,45364.8388671875,33199.19921875,41043.037109375,37250.3588867188,40772.48046875,35580.80078125,30377.7587890625,35973.359375,37206.8017578125,28920.6787109375,38046.3208007812,34374.8388671875,29680.3198242188,33967.6000976562,37819.19921875,23506.4013671875,28615.361328125,35770.6787109375,36390.6005859375,37003.28125,35863.1201171875,32880.7202148438,32483.8793945312
"1854",86.025,25.625,41841.123046875,39431.1596679688,36814.12109375,25383.798828125,32856.71875,29234.9194335938,37138.0810546875,33898.1201171875,33258.2397460938,36670.9204101562,46048.9208984375,39242.8002929688,41089.521484375,37496.8408203125,41034.560546875,35437.51953125,29653.3984375,35685.2392578125,37225.478515625,28855.5200195312,39855.0390625,34071.0791015625,29734.12109375,33560.2392578125,37489.5190429688,23754.9194335938,28535.2001953125,35812.3583984375,31477.7587890625,36700.76171875,35380.9594726562,32792.1997070312,31568.3984375
"1855",86.075,25.625,46549.23828125,39496.8798828125,36783.2397460938,25438.8403320312,32451.6796875,29536.9995117188,36660.83984375,33854.9609375,33420.80078125,36542.3193359375,45339.7998046875,38950.2392578125,42027.041015625,36799.8803710938,41137.7587890625,35669.9609375,30302.3193359375,35620.2392578125,37533.0810546875,28751.8408203125,39285.9594726562,33827.44140625,29605.7202148438,33594.6801757812,37525.0390625,23702.080078125,28452.2412109375,35786.0400390625,31415.2783203125,36875.87890625,36022.3999023438,33506.4013671875,31490.478515625
"1856",86.125,25.625,46607.7587890625,39402.48046875,36559.12109375,25460.80078125,37714.19921875,29628.1201171875,37026.4404296875,33870.5200195312,33609.521484375,37009.8388671875,45298.9599609375,39085.1611328125,42205.95703125,36327.51953125,41042.40234375,35785.5200195312,30375.87890625,35528.8403320312,37806.71875,29265.87890625,40135.6811523438,33860.6005859375,29664.638671875,33920.2001953125,37264.8388671875,23587.1606445312,28485.400390625,35520.361328125,31420.87890625,36878.2397460938,35530.9594726562,33276.0009765625,31543.0810546875
"1857",86.175,25.625,46446.0791015625,39696.7211914062,36543.1591796875,25587.8002929688,37692.880859375,29281.279296875,36613.720703125,33342.2802734375,38546.0400390625,36982.2802734375,45532.041015625,39242.919921875,41246.162109375,37317.48046875,41350.2392578125,35347.841796875,29546.9189453125,35305.361328125,37671.0791015625,29209.7998046875,40132.8393554688,33687.8002929688,29427.6806640625,33949.7607421875,31776.0009765625,23517.6000976562,28872.958984375,35532.55859375,31802.158203125,36725.478515625,36103.5205078125,33392.3583984375,31874.4384765625
"1858",86.225,25.625,46526.962890625,39920.4809570312,36655.9594726562,25240.478515625,38125.2392578125,30295.9204101562,37077.6806640625,34035.2783203125,33512.2802734375,36907.48046875,45638.3203125,39897.041015625,41724.08203125,37344.19921875,41391.4404296875,35971.4013671875,28796.71875,30612.51953125,37615.439453125,28870.6396484375,39628.4790039062,33411.0791015625,29665.1196289062,34116.5185546875,31539.12109375,23819.0405273438,28709.599609375,30955.1611328125,32004.2797851562,36658.720703125,35728.4814453125,33643.0810546875,31441.9189453125
"1859",86.275,25.625,47292.7197265625,40419.9609375,36973.798828125,30659.3212890625,32783.6401367188,35602.44140625,37119.3603515625,33582.041015625,38714.0795898438,36296.9189453125,45659.7998046875,39710.2807617188,40028.0004882812,37761.1206054688,41035.478515625,35997.2412109375,29001.9189453125,30697.6000976562,37795.6396484375,29603.8793945312,34060,33709.8388671875,29422.44140625,34297.2802734375,31922.041015625,28602.7197265625,29295.2783203125,30318.4814453125,32718.681640625,37347.51953125,35566.71875,33112.3999023438,31098.1201171875
"1860",86.325,25.625,46757.880859375,40551.4404296875,36780.7202148438,30615.9594726562,32536.5185546875,30736.9995117188,36677.919921875,34132.48046875,39065.0805664062,36266.318359375,45545.2392578125,39906.4404296875,40412.3608398438,33060.0390625,41015.80078125,36020.9204101562,24558.1201171875,30712.3999023438,38403.720703125,29537.6416015625,33809.12109375,34134.3603515625,29520.6787109375,33815.5615234375,31885.361328125,23693.4814453125,29447.7197265625,30956.201171875,32101.4794921875,37092.51953125,35861.8798828125,33048.6401367188,31855.2001953125
"1861",86.375,25.625,46771.4404296875,40119.599609375,36732.3193359375,30105.9204101562,32168.0004882812,30684.4384765625,36668.720703125,34285.6005859375,38484.0405273438,36269.3994140625,44998.203125,33696.8798828125,41040.83984375,36688.4399414062,40846.279296875,36078.798828125,28968.5205078125,30225.6005859375,37966.5185546875,29795.5615234375,33638.759765625,33493.1591796875,29270.6396484375,33604.599609375,32147.1997070312,23441.9995117188,29541.0791015625,30757.080078125,32006.6015625,36816.1596679688,36136.3598632812,33437.119140625,27716.9604492188
"1862",86.425,25.625,45947.44140625,35082.55859375,36705.6396484375,30512.51953125,32309.7216796875,31443.0004882812,37087.841796875,33339.599609375,33738.9599609375,36416.0791015625,43937.6806640625,33729.638671875,40338.4790039062,36073.4399414062,36552.6416015625,35331.8798828125,25352.080078125,31143.8793945312,33288.5595703125,30006.5600585938,33496.4404296875,33153.798828125,25934.3994140625,32728.759765625,28206.5185546875,24317.1606445312,30106.5600585938,31701.8408203125,32122.7197265625,35822.6806640625,31193.0395507812,32631.7602539062,27989.7216796875
