"","CellID","CompID","BaseID","Comppartialprofit_Mean","Comppartialprofit_SD","Comppartialprofit_CV","Comppartialprofit_Max","Comppartialprofit_Min","CompCropFailureProb","CompMinPropSOSDBase","Basepartialprofit_Mean","Basepartialprofit_SD","Basepartialprofit_CV","Basepartialprofit_Max","Basepartialprofit_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbasepartialprofit","MinProp_BaseSOSDComp_Divdbasepartialprofit","Riskiness_Comp","RiceArea"
"1790",2609,1,1,114653.821047286,11953.4056691916,0.104256496294718,137221.8362175,88442.3789236887,0,-47775.7658868259,66878.0551602827,31251.8185019687,0.467295563949479,123484.635990863,24253.0037015682,0,-67075.8659809155,47775.765887003,-19298.4128327771,-0.363039067654762,0,-0.714371340080457,-1.00295778368792,1,1
"1791",261,1,1,101029.168879893,16205.8559671938,0.160407693608366,126889.104764694,53594.4329121585,0,-18691.7081305825,82337.4607447037,32908.8231386183,0.39968226905437,133225.901141941,29710.2698776325,0,-38621.854671289,18691.7081351897,-16702.9671714245,-0.239274575446004,0,-0.227013414811737,-0.469067837676465,1,1
"1792",2610,1,1,113198.922945961,9391.67292595496,0.082966097923373,127625.986773721,91762.899078411,0,-47302.5408583155,65896.3820831903,31095.9931160743,0.471892266813942,122377.824659231,22786.7943125742,0,-70749.9518668873,47302.5408627708,-21704.3201901193,-0.388926168890569,0,-0.717832138319806,-1.07365457146903,1,1
"1793",2611,1,1,118676.911683854,8688.61030427529,0.0732123054181008,135902.317449909,97095.3023143768,0,-48419.220484165,70257.6911914025,32411.190170123,0.461318748460228,129373.828686919,25282.8785614418,0,-75370.797677902,48419.2204924515,-23722.5798658477,-0.388106443042127,0,-0.689166120649438,-1.07277646617464,1,1
"1794",2612,1,1,121428.203347536,9636.66952004144,0.079361048375727,140643.107621506,107376.450706829,0,-52043.8317272781,69384.3716163969,32260.2813877494,0.464950256609741,126338.293852391,26805.5895464637,0,-81188.2038008441,52043.8317311394,-22623.6118677079,-0.385589208234014,0,-0.750080032647858,-1.17012234757571,1,1
"1795",2613,1,1,120630.214821166,8603.72949019959,0.0713231714206478,137299.169055461,108797.268374157,0,-54615.6831240229,66014.5316964408,32119.9967654154,0.486559488342885,130566.997590452,19105.3317819554,0,-89691.9365930933,54615.6831247253,-23516.2672752158,-0.415236316922238,0,-0.827328191543734,-1.3586695881678,1,1
"1796",2614,1,1,122493.913788874,8793.02763077154,0.0717833838334769,139039.712132325,109238.085889622,0,-55639.0645888944,66854.8491969459,32156.9963420679,0.480997216033461,134262.134762127,28779.9078868129,0,-80458.1780060211,55639.0645919276,-23363.9687112963,-0.409213832199984,0,-0.832236782480636,-1.2034755739109,1,1
"1797",2615,1,1,125289.708482263,9906.64015910043,0.0790698635914127,143554.059856575,103500.980438784,0,-52383.7109570037,72905.9975188548,32693.6050821512,0.448435056028086,132532.55817635,30475.6916300559,0,-77412.3443448404,52383.7109634086,-22786.9649230507,-0.369365192436673,0,-0.718510311081833,-1.06181037197688,1,1
"1798",2616,1,1,123270.336259576,10090.00826751,0.0818526871401001,142643.311918339,99031.1709316113,0,-53161.0159134089,70109.3203413557,32921.7076250239,0.469576761901715,130637.815296725,25623.3506888064,0,-80074.8673221169,53161.0159182205,-22831.6993575138,-0.387724074761615,0,-0.758258897027854,-1.14214296946882,1,1
"1799",2617,1,1,123825.106868892,10155.31964654,0.0820134131383599,143454.444088208,104574.02970342,0,-53420.1229465489,70404.9839216156,34180.0489125935,0.485477689344371,135384.462919204,25903.6261360456,0,-79482.0163110957,53420.1229472762,-24024.7292660535,-0.403464276206011,0,-0.758754849032043,-1.1289259919381,1,1
